ID,zh-TW,en,ja
INFO_TITLE,說明：,Description:,説明：
ATK,攻擊力,Attack,攻撃力
DEF,防禦力,Defense,防御力
HEAL,治療,Heal,回復
EN,能量,Energy,エネルギー
TURN,結束回合,End Turn,ターン終了
TRYAGAIN,再玩一次,Try Again,もう一度
INTERUPT,成功打斷行動,Turn Interrupted!,行動を中断した！
MOB_USE_RUNE,敵人使用了符文!,Enemy used runes!,敵がルーンを使った！
TUTORIAL_WARNING,請依教學指示執行動作,Follow the instructions,チュートリアルの指示に従ってください
CANT_DIFF_CARD,不能選擇不同系列生物,Choose creatures of the same color,同じ色の生物を選んでください
CANT_OVER_2,無法出超過2張卡片,Play two cards or less,カードは2枚以下
CANT_PLAY_CHAR,無法出角色卡,Character cards disabled,キャラクターカード使用不可
CANT_PLAY_RED,無法出紅色卡,Red cards disabled,赤カード使用不可
CANT_PLAY_BLUE,無法出藍色卡,Blue cards disabled,青カード使用不可
CANT_PLAY_GREEN,無法出綠色卡,Green cards disabled,緑カード使用不可
CANT_PLAY_YELLOW,無法出黃色卡,Yellow cards disabled,黄カード使用不可
CANT_USE_RUNE,無法使用符文能力,Rune abilities disabled,ルーン能力使用不可
RED_MAIN,梅爾帕茉妮,Melpomene,メルポメネ
BLUE_MAIN,優菲,Euphie,ユーフィ
GREEN_MAIN,薇狄亞,Viridia,ヴィリディア
YELLOW_MAIN,涅莉,Nelly,ネリー
RED_CARD,血巫觸手,Blood Tentacle,血巫の触手
BLUE_CARD,雪色魔梟,Snow Owl,雪色の魔梟
GREEN_CARD,秘林樹精,Forest Dryad,秘林のドライアド
YELLOW_CARD,安息日羊,Sabbath Sheep,安息日の羊
TUTORIAL_DIALOG_1,巫術世界有四大屬性的法術，在視覺上分類的話，分別為－－學院（藍）、鮮血（紅）、自然（綠），及惡魔（金）。,"Time to cover three of the four different types of magic: Academy (blue), Blood (red), & Nature (green)!
Occult (yellow) magic is a little special so we'll cover that later!",魔法には四種類があります。今回は学院（青）・血（赤）・自然（緑）を紹介！悪魔（黄）魔法は特別なので後ほど説明します！
