---,content,多國語言1,多國語言2,多國語言3,多國語言4,多國語言5
0,角色名稱:對話內容,,,,,
1,"#bgm 音檔名稱
#bg 背景名稱
#se 音效名稱
#mood 角色名稱,動作/表情名稱
#into 角色名稱,位置(L C R)
#cg CG名稱
#goto ID(指定跳到哪一行)
#add 變數名稱,數字
#sub 變數名稱,數字
#combat 怪物名稱,場景名稱,BGM,打完後去哪行ID",,,,,
2,"#sel A,ID,B,ID,C,ID

A=選項顯示內容 逗號後面帶的ID=跳到哪一行執行命令 
B C同理",,,,,
3,#以下範例,,,,,
4,惡魔貓男:惡魔貓男 你今晚的噩夢,,,,,
5,"#sel 人民的法槌,6,浪漫突進,7,結構改革,8",,,,,
6,"#bgm xxx
#add 樂咖好感,1
#goto 9",,,,,
7,"#bgm yyy
#add 樂咖好感,2
#goto 10",,,,,
8,"#bgm zzz
#add 樂咖好感,3
#goto 11",,,,,
9,樂咖:讓他賣個夠!!,,,,,
10,導演:我這輩子就等這一幕,,,,,
11,鍾佳播:你心中有愛嗎,,,,,
